Gen,,,,,,,,,,,,,,,,
46470,BOUNDG54,Boundary,NORTHWEST,54,Closed,130.51,14.85,1.04,YES,YES,0,161.5,-45,50,None,161.5
46474,BOUNDG56,Boundary,NORTHWEST,56,Closed,175.82,18.56,1.04,YES,YES,0,200,-40,50,None,200
46606,SIMP_GEN,Simpson,NORTHWEST,1,Closed,64,0,1,YES,NO,0,64,0,0,None,64
46624,MAYFILD2,Mayfield,NORTHWEST,2,Closed,43,4.23,1,YES,YES,0,45,-8,13,None,45
46624,MAYFILD2,Mayfield,NORTHWEST,3,Closed,43,4.23,1,YES,YES,0,45,-8,13,None,45
46624,MAYFILD2,Mayfield,NORTHWEST,4,Open,0,0,1,YES,YES,0,45,-14,26,None,45
46627,MOSSYRK1,Mossyrock,NORTHWEST,1,Closed,169,15.09,1,YES,YES,0,203,-119.78,113.78,None,203
46628,MOSSYRK2,Mossyrock,NORTHWEST,2,Closed,90,8.01,1,YES,YES,0,175,-145,132.14,None,175
46791,CUSHMN2,Cushman 2,NORTHWEST,1,Closed,21,3.19,1,YES,YES,0,30,-10,12,None,30
46791,CUSHMN2,Cushman 2,NORTHWEST,2,Closed,20,3.19,1,YES,YES,0,30,-10,12,None,30
46791,CUSHMN2,Cushman 2,NORTHWEST,3,Closed,20,3.19,1,YES,YES,0,30,-10,12,None,30
46802,ROCKI U1,Rock Island Powerhouse,NORTHWEST,U1,Closed,39,8.67,1.03478,YES,YES,0,54,-36.46,22.1,None,54
46803,CHELAN,Chelan,NORTHWEST,A1,Closed,30,12.67,1.03478,YES,YES,0,37,-18.38,24.68,None,37
46803,CHELAN,Chelan,NORTHWEST,A2,Closed,30,12.67,1.03478,YES,YES,0,37,-18.38,24.68,None,37
46804,ROCKI U2,Rock Island Powerhouse,NORTHWEST,U2,Closed,39,8.67,1.03478,YES,YES,0,54,-36.46,22.1,None,54
46806,ROCKI U3,Rock Island Powerhouse,NORTHWEST,U3,Closed,39,8.67,1.03478,YES,YES,0,54,-36.46,22.1,None,54
46810,ROCKI U4,Rock Island Powerhouse,NORTHWEST,U4,Closed,39,8.67,1.03478,YES,YES,0,54,-36.46,22.1,None,54
46812,ROCKI U5,Rock Island Powerhouse,NORTHWEST,U5,Closed,39,8.67,1.03478,YES,YES,0,54,-36.46,22.1,None,54
46814,ROCKI U6,Rock Island Powerhouse,NORTHWEST,U6,Closed,39,8.67,1.03478,YES,YES,0,54,-36.46,22.1,None,54
46820,ROCKI U7,Rock Island Powerhouse,NORTHWEST,U7,Closed,39,8.67,1.03478,YES,YES,0,54,-36.46,22.1,None,54
46822,ROCKI U8,Rock Island Powerhouse,NORTHWEST,U8,Closed,39,8.67,1.03478,YES,YES,0,54,-36.46,22.1,None,54
46841,ROCKYR01,Rocky Reach,NORTHWEST,C1,Closed,68,18.28,1.03478,YES,YES,0,120,-55.2,61.6,None,120
46842,ROCKYR02,Rocky Reach,NORTHWEST,C2,Closed,68,18.28,1.03478,YES,YES,0,120,-55.2,61.6,None,120
46843,ROCKYR03,Rocky Reach,NORTHWEST,C3,Closed,69,18.28,1.03478,YES,YES,0,120,-54.9,61.2,None,120
46844,ROCKYR04,Rocky Reach,NORTHWEST,C4,Closed,69,18.28,1.03478,YES,YES,0,120,-54.9,61.2,None,120
46845,ROCKYR05,Rocky Reach,NORTHWEST,C5,Closed,69,18.28,1.03478,YES,YES,0,120,-54.9,61.2,None,120
46846,ROCKYR06,Rocky Reach,NORTHWEST,C6,Closed,69,18.28,1.03478,YES,YES,0,120,-54.9,61.2,None,120
46847,ROCKYR07,Rocky Reach,NORTHWEST,C7,Closed,69,18.28,1.03478,YES,YES,0,120,-54.9,61.2,None,120
46848,ROCKYR08,Rocky Reach,NORTHWEST,C8,Closed,95,18.28,1.03478,YES,YES,0,132,-67.58,54.38,None,132
46849,ROCKYR09,Rocky Reach,NORTHWEST,C9,Closed,95,18.28,1.03478,YES,YES,0,132,-67.58,54.38,None,132
46850,ROCKYR10,Rocky Reach,NORTHWEST,CA,Closed,95,18.28,1.03478,YES,YES,0,132,-67.58,54.38,None,132
46851,ROCKYR11,Rocky Reach,NORTHWEST,CB,Closed,95,18.28,1.03478,YES,YES,0,132,-67.58,54.38,None,132
47104,WELLS T1,Wells (DOPD),NORTHWEST,1,Closed,80,10.76,1.04345,YES,YES,50,85.5,-39,33.5,None,85.5
47104,WELLS T1,Wells (DOPD),NORTHWEST,2,Closed,80,10.76,1.04345,YES,YES,50,85.5,-39,33.5,None,85.5
47105,WELLS T2,Wells (DOPD),NORTHWEST,3,Open,0,0,1.04345,YES,YES,50,85.5,-60,51.5,None,85.5
47105,WELLS T2,Wells (DOPD),NORTHWEST,4,Closed,80,10.76,1.04345,YES,YES,50,85.5,-39,33.5,None,85.5
47106,WELLS T3,Wells (DOPD),NORTHWEST,5,Closed,80,10.76,1.04345,YES,YES,50,85.5,-39,33.5,None,85.5
47106,WELLS T3,Wells (DOPD),NORTHWEST,6,Closed,80,10.76,1.04345,YES,YES,50,85.5,-39,33.5,None,85.5
47107,WELLS T4,Wells (DOPD),NORTHWEST,7,Closed,80,10.76,1.04345,YES,YES,50,85.5,-39,33.5,None,85.5
47107,WELLS T4,Wells (DOPD),NORTHWEST,8,Closed,80,10.76,1.04345,YES,YES,50,85.5,-39,33.5,None,85.5
47108,WELLS T5,Wells (DOPD),NORTHWEST,9,Closed,80,10.76,1.04345,YES,YES,50,85.5,-39,33.5,None,85.5
47108,WELLS T5,Wells (DOPD),NORTHWEST,A,Closed,80,10.76,1.04345,YES,YES,50,85.5,-39,33.5,None,85.5
47216,RVR RD C,River Road,NORTHWEST,1,Closed,250,22.23,1,YES,YES,0,260,-101.7,60.4,None,260
47359,LION MTN,Lion Mountain,NORTHWEST,1,Closed,1,0,1,YES,NO,0,1,0,0,None,1
47568,LANCAS G,Lancaster,NORTHWEST,1,Closed,171,0,1.03,YES,YES,0,185,0,130.2,None,185
47569,LANCAS S,Lancaster,NORTHWEST,1,Closed,78,0,1.03,YES,YES,0,85,0,59.8,None,85
47576,FREDST S,Frederickson (PSPL),NORTHWEST,1,Closed,89.7,-28.56,1,YES,YES,0,100,-30,60,None,100
47577,FREDST G,Frederickson (PSPL),NORTHWEST,1,Closed,159.5,-58.36,1,YES,YES,0,170,-80,125,None,170
47588,CHEH G1,Napavine,NORTHWEST,1,Closed,157.8,25.08,1.01,YES,YES,0,200,-50,50,None,200
47589,CHEH G2,Napavine,NORTHWEST,2,Closed,157.8,25.08,1.01,YES,YES,0,200,-50,50,None,200
47590,CHEH S1,Napavine,NORTHWEST,1,Closed,197.2,33.77,1.01,YES,YES,0,240,-82,123,None,240
47596,GRYHB G1,Grays Harbor Energy Facility,NORTHWEST,1,Closed,179.4,-80,1,YES,YES,0,198.9,-80,123.3,None,198.9
47597,GRYHB G2,Grays Harbor Energy Facility,NORTHWEST,1,Closed,179.4,-80,1,YES,YES,0,198.9,-80,123.3,None,198.9
47598,GRYHB S1,Grays Harbor Energy Facility,NORTHWEST,1,Closed,260.1,-100,1,YES,YES,0,317.1,-100,196.5,None,317.1
47639,HPP G1,Hermiston Power Project,NORTHWEST,1,Closed,194.4,-6.52,1.01,YES,YES,0,217,-75,95,None,217
47640,HPP G2,Hermiston Power Project,NORTHWEST,1,Closed,194.4,-6.52,1.01,YES,YES,0,217,-75,95,None,217
47641,HPP S1,Hermiston Power Project,NORTHWEST,1,Closed,168.4,-8.18,1.01,YES,YES,0,189,-75,95,None,189
47660,KLAM ADD,COB Energy Facility,NORTHWEST,1,Closed,49.8,-2.38,1.04,YES,YES,0,50,-15.5,15.5,None,50
47660,KLAM ADD,COB Energy Facility,NORTHWEST,2,Closed,49.8,-2.38,1.04,YES,YES,0,50,-15.5,15.5,None,50
47675,MNTFRM G,Mint Farm Energy Center LLC,NORTHWEST,1,Closed,160,-68.3,1.02,YES,YES,0,186.2,-68.3,115.4,None,186.2
47676,MNTFRM S,Mint Farm Energy Center LLC,NORTHWEST,1,Closed,75,-47.3,1.02,YES,YES,0,134,-47.3,83,None,134
47687,GEP G1,Goodnoe Hills East,NORTHWEST,1,Closed,167.6,-29.08,1.02,YES,YES,0,206,-80,125,None,206
47688,GEC S1,Goodnoe Hills East,NORTHWEST,1,Closed,78.9,-30,1.02,YES,YES,0,97,-30,60,None,97
47740,CENTR G1,Centralia Switching Station,NORTHWEST,1,Closed,712,138.89,1.08,YES,YES,0,742,-138.89,138.89,None,742
47744,CENTR G2,Centralia Switching Station,NORTHWEST,2,Closed,712,138.89,1.08,YES,YES,0,742,-138.89,138.89,None,742
48061,CABGOR12,Cabinet Gorge,NORTHWEST,1,Closed,55,3.69,1.0478,YES,YES,0,65.9,-8.5,31.7,None,65.9
48061,CABGOR12,Cabinet Gorge,NORTHWEST,2,Closed,65,3.69,1.0478,YES,YES,0,76.9,-24,18.7,None,76.9
48063,CABGOR34,Cabinet Gorge,NORTHWEST,3,Closed,65,3.69,1.0478,YES,YES,0,78.2,-5.3,16.3,None,78.2
48063,CABGOR34,Cabinet Gorge,NORTHWEST,4,Open,0,0,1.0478,YES,YES,0,66.3,-7.2,27.8,None,66.3
48173,KETTLEAV,Kettle Falls,NORTHWEST,1,Closed,45,-2.29,1.0087,YES,YES,10,46,-4.8,10.3,None,46
48173,KETTLEAV,Kettle Falls,NORTHWEST,2,Closed,7,0,1.0087,YES,YES,0,7.2,0,0,None,7.2
48285,NOXON12,Noxon Rapids,NORTHWEST,1,Closed,100,0.83,1.0478,YES,YES,0,114,-31,42,None,114
48285,NOXON12,Noxon Rapids,NORTHWEST,2,Closed,100,0.83,1.0478,YES,YES,0,113.2,-18,30,None,113.2
48287,NOXON34,Noxon Rapids,NORTHWEST,3,Closed,100,19.37,1.0478,YES,YES,0,120,-16,44,None,120
48287,NOXON34,Noxon Rapids,NORTHWEST,4,Closed,100,19.37,1.0478,YES,YES,0,116,-11,25,None,116
48516,COYO G2,Coyote Springs,NORTHWEST,1,Closed,160,14.07,1,YES,YES,0,169.8,-40.9,83.3,None,169.8
48518,COYO S2,Coyote Springs,NORTHWEST,1,Closed,100,9.49,1,YES,YES,0,116.2,-19.3,52.1,None,116.2
50500,GMS 13G6,Gordon M. Shrum,B.C.HYDRO,6,Closed,284.01,-19.78,0.9965,YES,YES,0,305,-100.1,100.1,None,305
50501,GMS 13G7,Gordon M. Shrum,B.C.HYDRO,7,Closed,284.01,-19.85,0.99673,YES,YES,0,305,-100.1,100.1,None,305
50502,GMS 13G8,Gordon M. Shrum,B.C.HYDRO,8,Closed,284.01,-19.86,0.99679,YES,YES,0,305,-100.1,100.1,None,305
50504,GMS13G10,Gordon M. Shrum,B.C.HYDRO,10,Closed,284.01,-19.74,0.99723,YES,YES,0,305,-133.76,72.29,None,305
50637,MCA 16G1,Mica,B.C.HYDRO,1,Closed,445.49,-0.04,1.03015,YES,YES,0,492,-165,165,None,492
50638,MCA 16G2,Mica,B.C.HYDRO,2,Closed,445.49,-0.06,1.03009,YES,YES,0,492,-165,165,None,492
50639,MCA 16G3,Mica,B.C.HYDRO,3,Closed,446.85,-0.08,1.03008,YES,YES,0,493.5,-165,165,None,493.5
50640,MCA 16G4,Mica,B.C.HYDRO,4,Closed,446.85,-0.04,1.02996,YES,YES,0,493.5,-165,165,None,493.5
50644,REV 13G1,Revelstoke,B.C.HYDRO,1,Closed,426.51,-21.21,1.0112,YES,YES,0,500,-250.99,164.34,None,500
50645,REV 13G2,Revelstoke,B.C.HYDRO,2,Closed,333.77,-36.62,1.01122,YES,YES,0,500,-239.33,153.8,None,500
50646,REV 13G3,Revelstoke,B.C.HYDRO,3,Closed,426.51,-21.31,1.01131,YES,YES,0,500,-228.38,139.87,None,500
50647,REV 13G4,Revelstoke,B.C.HYDRO,4,Closed,426.51,-21.31,1.0113,YES,YES,0,500,-245.08,154.9,None,500
51032,REV 16G5,Revelstoke,B.C.HYDRO,5,Closed,431.11,-22.21,1.0117,YES,YES,0,505.4,-166.12,166.12,None,505.4
54130,SUND#3GN,Sundance,ALBERTA,3,Closed,360.8,-84.34,0.984,YES,YES,155.5,380,-123,181,None,380
54342,SUND#4GN,Sundance,ALBERTA,4A,Closed,406.7,123.32,0.987,YES,YES,169,430,-123,181,None,430
54345,SUND#5GN,Sundance,ALBERTA,5A,Closed,389.9,149.3,0.995,YES,YES,150,435.4,-123,181,None,435.4
54350,SUND#6GN,Sundance,ALBERTA,6A,Closed,399.3,109.48,0.988,YES,YES,150,425,-50,210,None,425
54403,KEEP#3GN,Keephills,ALBERTA,3,Closed,468.7,123.69,1.035,YES,YES,142,498,-99.9,310.4,None,498
54422,KEEP#1GN,Keephills,ALBERTA,1A,Closed,397.4,94.91,1,YES,YES,164,415,-110,208,None,415
54424,KEEP#2GN,Keephills,ALBERTA,2A,Closed,395.7,94.38,1,YES,YES,199,415,-110,208,None,415
54490,GENES 39,Genesee,ALBERTA,3,Closed,474.7,109.58,1.011,YES,YES,142,527.4,-173.3,255.4,None,527.4
54491,GENES 19,Genesee,ALBERTA,1,Closed,407.5,41.77,1.007,YES,YES,123.6,422,-34.4,138.4,None,422
54492,GENES 29,Genesee,ALBERTA,2A,Closed,408.8,42.99,1.01,YES,YES,200,422,-112,208,None,422
55482,SHEER 1,Sheerness,ALBERTA,1,Closed,363.1,-42.81,1.03,YES,YES,143.88,408,-126,178.8,None,408
55487,SHEER 29,Sheerness,ALBERTA,2,Closed,380.2,-40.23,1.03,YES,YES,143.88,408,-116.6,179.7,None,408
55497,BAT #5,Battle River,ALBERTA,5,Closed,376.1,-42.23,1,YES,YES,140,407,-98.2,157.7,None,407
65191,BONANZA,Bonanza,PACE,1,Closed,485,-6.44,1.025,YES,YES,220,490,-70,146,None,490
65386,BRIDGER1,,PACE,1,Closed,555,0.4,1.05,YES,YES,200,557,-130,210,None,557
65387,BRIDGER2,,PACE,1,Closed,554,0.37,1.05,YES,YES,200,557,-130,210,None,557
65388,BRIDGER3,,PACE,1,Closed,550,0.37,1.05,YES,YES,200,557,-130,210,None,557
65389,BRIDGER4,,PACE,1,Closed,550,0.4,1.05,YES,YES,200,557,-130,210,None,557
65445,DAVEJON4,Johnston,PACE,1,Closed,345,13.31,1.025,YES,YES,203,347.2,-110,170,None,347.2
65490,EHUNTR 1,Hunter Plant,PACE,1,Closed,470,28.37,1.037,YES,YES,200,474,-80,205,None,474
65495,EHUNTR 2,Hunter Plant,PACE,1,Closed,470,28.37,1.037,YES,YES,200,474,-80,205,None,474
65500,EHUNTR 3,Hunter Plant,PACE,1,Closed,495,26.7,1.037,YES,YES,200,500.5,-85,165,None,500.5
65795,HUNTN G1,Huntington,PACE,1,Closed,243,-14.78,1.032,YES,YES,243,495,-125,212.1,None,495
65800,HUNTN G2,Huntington,PACE,1,Closed,248,-3.24,1.032,YES,YES,248,485,-152,218,None,485
66065,NAUGT G3,Naughton,PACE,1,Closed,348,-14.26,1.038,YES,YES,189,350,-100,152,None,350
66730,WYODAK 1,Wyodak,PACE,1,Closed,375,38.01,1.02,YES,YES,207,380,-110,125,None,380
70106,CHEROK4,Cherokee (PSCO),PSCOLORADO,C4,Closed,360,164.92,1.01,YES,YES,150,383,-100,250,None,383
70119,COMAN_1,Comanche,PSCOLORADO,C1,Closed,350,61.91,0.97,YES,YES,200,360,-31,127,None,360
70120,COMAN_2,Comanche,PSCOLORADO,C2,Closed,355,16.61,0.96,YES,YES,200,365,-30,49,None,365
70310,PAWNEE,Pawnee,PSCOLORADO,C1,Closed,505,105.58,0.99,YES,YES,300,536,-130,280,None,536
70350,RAWHIDE,Rawhide,PSCOLORADO,C1,Closed,300,27.14,1,YES,YES,45,304,-110,135,None,304
70409,ST.VRAIN,Fort St. Vrain,PSCOLORADO,G1,Closed,260,-0.78,0.98,YES,YES,35,312,-80,165,None,312
70591,RMEC3,Rocky Mountain Energy Center,PSCOLORADO,G3,Closed,160,36.05,0.98,YES,YES,17,303,-77,198,None,303
70777,COMAN_3,Comanche,PSCOLORADO,C3,Closed,800,169.12,1,YES,YES,330,805,-80,560,None,805
72500,SPR GEN3,,WAPA R.M.,1,Closed,430,55.56,1.038,YES,YES,165,430,-160,200,None,430
73129,MBPP-1,Laramie River,WAPA R.M.,1,Closed,278.44,60.72,1.03,YES,YES,0,605,-160,275,None,605
73130,MBPP-2,Laramie River,WAPA R.M.,1,Closed,600,60.72,1.03,YES,YES,0,605,-160,275,None,605
76404,DRYFORK,Dry Fork Station,WAPA R.M.,1,Closed,425,108.01,1.02,YES,YES,0,440,-138,260,None,440
79015,CRAIG 1,Craig (TSGT),WAPA R.M.,1,Closed,451,9.45,1.02,YES,YES,0,470,-216,216,None,470
79016,CRAIG 2,Craig (TSGT),WAPA R.M.,1,Closed,451,9.45,1.02,YES,YES,0,470,-216,216,None,470
79017,CRAIG 3,Craig (TSGT),WAPA R.M.,1,Closed,433,-32,1.02,YES,YES,120,433.8,-32,145,None,433.8
79150,GLENC1-2,Glen Canyon,ARIZONA,1,Closed,120,14.52,1.02,YES,YES,0,165,-45,52,None,165
79150,GLENC1-2,Glen Canyon,ARIZONA,2,Closed,120,14.52,1.02,YES,YES,0,157,-42,46,None,157
79151,GLENC3-4,Glen Canyon,ARIZONA,3,Closed,120,-8.44,1,YES,YES,0,165,-48,48,None,165
79151,GLENC3-4,Glen Canyon,ARIZONA,4,Closed,0,-8.44,1,YES,YES,0,157,-42,44,None,157
79152,GLENC5-6,Glen Canyon,ARIZONA,5,Closed,120,-8.39,1,YES,YES,0,165,-48,50,None,165
79152,GLENC5-6,Glen Canyon,ARIZONA,6,Closed,0,-8.39,1,YES,YES,0,165,-46,50,None,165
623501,COLSTRIP GN1,,MONTANA,1,Closed,330,49.7,1.08,YES,YES,140,330,-115,115,None,330
623502,COLSTRIP GN2,,MONTANA,1,Closed,330,49.7,1.08,YES,YES,140,330,-115,115,None,330
623503,COLSTRIP GN3,,MONTANA,1,Closed,797.68,111.67,1.08,YES,YES,210,823,-270.7,270.7,None,823
623504,COLSTRIP GN4,,MONTANA,1,Closed,805,111.67,1.08,YES,YES,210,823,-270.7,270.7,None,823
